valid_time_ist,period,avg_ghi,ALLSKY_SFC_SW_DWN,pred_residual,Bias_Corrected_GHI,GHI_clear,avg_tmp,avg_ugrd,avg_vgrd,avg_lcdc,avg_tcdc,Day_Ahead_Forecast,2hr_ahead_forecast
2024-01-08 06:30:00+05:30,morning,0.0,8.85,24.41352274385257,24.41352274385257,0.0,293.14625,-3.485,-0.4475,71.5875,75.75,16.138498815616295,
2024-01-08 07:30:00+05:30,morning,59.03749942779541,65.75,96.92975571034624,155.96725513814164,80.18027219026243,293.33125,-3.38375,-0.44375,56.8125,65.025,130.8624960651116,
2024-01-08 08:30:00+05:30,morning,239.25250244140625,114.9,27.129504009443853,266.3820064508501,317.70599606670896,294.7475,-5.01125,-0.0575,53.2125,70.0125,310.6393694693603,
2024-01-08 09:30:00+05:30,morning,413.274995803833,174.25,-49.23104849214671,364.0439473116863,540.4417953357531,296.2375,-5.7925,-0.31875,48.6375,78.6625,442.3519491614276,
2024-01-08 10:30:00+05:30,noon,531.3699932098389,258.05,-147.59928529602206,383.7707079138168,713.3668535079481,297.495,-6.15875,-0.31125,43.9375,70.7375,554.2055815634892,
2024-01-08 11:30:00+05:30,noon,606.3074951171875,322.42,-185.2688727427497,421.03862237443775,820.9658121873887,298.585,-6.33875,-0.47875,57.0125,71.3625,601.410939047497,
2024-01-08 12:30:00+05:30,noon,440.8524913787842,239.3,-40.87584071425105,399.9766506645331,854.7975234847636,298.98125,-6.68625,-0.30125,88.9875,93.1125,534.2730382720017,
2024-01-08 13:30:00+05:30,noon,304.037504196167,234.8,75.13837035716098,379.175874553328,812.3010987560878,298.89875,-7.05625,-0.50125,97.1625,97.6125,462.9077363537023,
2024-01-08 14:30:00+05:30,evening,269.6125011444092,160.1,-47.66814129046567,221.94435985394352,696.6902096185057,298.65875,-7.43375,-0.87625,92.5875,98.25,330.0994873873791,
2024-01-08 15:30:00+05:30,evening,192.7425012588501,93.85,-82.38527110681216,110.35723015203794,517.1020284681923,298.21875,-7.699999999999999,-0.98875,95.9125,97.675,163.9830244730107,
2024-01-08 16:30:00+05:30,evening,91.13500022888184,44.47,-38.61210512498639,52.52289510389545,290.13757356959053,297.425,-7.77625,-0.91,95.725,99.975,60.81427847043683,
2024-01-08 17:30:00+05:30,evening,32.947500109672546,4.88,-22.407548922872785,10.539951186799762,56.80359804252936,296.85125,-7.35125,-0.67625,93.625,96.05,-5.01200777133532,
2024-01-09 06:30:00+05:30,morning,0.0,12.77,15.558338912983148,15.558338912983148,0.0,292.83875,-2.58875,-0.995,67.175,100.0,19.171203493720697,
2024-01-09 07:30:00+05:30,morning,54.00250029563904,115.15,93.66088590886304,147.66338620450207,79.6501290435967,293.07875,-2.89125,-1.27625,56.675,94.375,124.49382664650236,
2024-01-09 08:30:00+05:30,morning,211.48250150680545,256.25,25.40171212826286,236.8842136350683,317.59459979452834,294.28,-3.81125,-0.8725,41.8625,79.375,272.23038760420707,
2024-01-09 09:30:00+05:30,morning,404.0525031089783,405.67,6.050999707218099,410.10350281619645,540.9137733907282,295.8175,-4.575,-0.3875,33.1875,66.0,425.7196935941849,
2024-01-09 10:30:00+05:30,noon,580.3649978637695,493.62,-92.11212535219718,488.2528725115724,714.4610157865568,297.5975,-5.10375,-0.0062499999999999,39.1625,66.875,512.649392798311,
2024-01-09 11:30:00+05:30,noon,704.7924995422363,531.12,-87.4299903482592,617.3625091939771,822.6802834307676,299.44,-5.4175,-0.1,40.9375,71.35,601.1523519743675,
2024-01-09 12:30:00+05:30,noon,688.1775016784668,443.6,-137.37918601612307,550.7983156623437,857.089507930821,300.83000000000004,-5.82625,-0.32875,63.925,71.1375,514.4241419958008,
2024-01-09 13:30:00+05:30,noon,519.1199970245361,356.58,-40.38883810738704,478.7311589171491,815.0863859844703,301.24625000000003,-6.22375,-0.1525,80.025,96.4625,429.3434654316611,
2024-01-09 14:30:00+05:30,evening,285.70000076293945,331.52,-17.93154832642336,267.7684524365161,699.843287607169,301.13,-6.31375,0.20375,99.95,99.9625,245.1225243669093,
2024-01-09 15:30:00+05:30,evening,167.19499969482422,206.95,-10.551268327096476,156.64373136772775,520.4497018825157,300.895,-6.555,-0.32875,91.85,99.5875,186.13239933014813,
2024-01-09 16:30:00+05:30,evening,123.082501411438,91.47,-26.77196641259769,96.31053499884032,293.4063264892057,300.48125,-7.30875,-0.14875,88.6875,93.4125,95.3082100223788,
2024-01-09 17:30:00+05:30,evening,26.13249969482422,10.18,-31.084128211416648,-4.951628516592429,59.0459838030638,299.5075,-7.45625,0.30375,96.7375,99.4625,-29.69306914331419,
2024-01-10 06:30:00+05:30,morning,0.0,14.75,19.315553919600443,19.315553919600443,0.0,292.1875,-2.3725,0.54625,0.0,99.2125,22.078081259929977,
2024-01-10 07:30:00+05:30,morning,71.66249942779541,128.6,88.38392412726009,160.0464235550555,79.18440608854743,292.745,-2.22625,0.0424999999999999,0.0,86.0375,147.8362177780151,
2024-01-10 08:30:00+05:30,morning,272.48499870300293,281.52,16.50845745866763,288.99345616167057,317.5694457289781,294.51375,-3.85625,0.5275,0.0,66.975,347.90947518867586,
2024-01-10 09:30:00+05:30,morning,494.18499755859375,448.83,-33.9150582945012,460.26993926409256,541.4764889362867,296.54875,-4.69,1.035,0.0,66.375,529.6982248922604,
2024-01-10 10:30:00+05:30,noon,664.1750030517578,668.78,-115.88823821096608,548.2867648407918,715.64458938499,298.61,-5.2725,1.21875,0.0,74.775,616.6688880253139,
2024-01-10 11:30:00+05:30,noon,762.8150024414062,774.1,-72.48746804351208,690.3275343978942,824.4787311416404,300.4,-5.845,0.93375,0.0,79.125,678.3491345068358,
2024-01-10 12:30:00+05:30,noon,801.4874954223633,702.7,-29.24404423739844,772.2434511849649,859.4567260382504,301.62125000000003,-5.87625,0.78,0.0,60.55,647.319494623877,
2024-01-10 13:30:00+05:30,noon,803.2874984741211,580.22,-50.19316279422004,753.0943356799011,817.93564106615,302.5125,-5.47375,0.4812499999999999,0.0,45.075,653.7866780374136,
2024-01-10 14:30:00+05:30,evening,684.6500015258789,357.83,-196.4628206156057,488.1871809102733,703.0474802142454,303.03,-5.86375,0.2875,0.0,60.275,488.0572984184812,
2024-01-10 15:30:00+05:30,evening,527.2900085449219,240.65,-220.45724102296307,306.8327675219588,523.835285344517,302.89875,-6.25375,0.5875,0.0,58.0,320.86155421284525,
2024-01-10 16:30:00+05:30,evening,265.21749782562256,113.93,-179.86475392892785,85.35274389669473,296.701983535533,302.22,-6.33625,0.27875,0.0,85.225,100.27072158038786,
2024-01-10 17:30:00+05:30,evening,83.23750019073486,10.48,-66.01778087018167,17.219719320553196,61.325863125582,301.19,-6.69,-0.63125,3.675,90.475,27.216955996103536,
2024-01-11 06:30:00+05:30,morning,0.0,17.5,22.13936376863808,22.13936376863808,0.0,292.5075,-1.12125,0.74875,0.0,83.2875,22.078081259929977,
2024-01-11 07:30:00+05:30,morning,65.7424988746643,168.38,90.799254775475,156.5417536501393,78.78410336664003,293.61,-1.1575,0.12875,0.0,99.9875,143.43053939979694,
2024-01-11 08:30:00+05:30,morning,225.47000122070312,381.38,68.20126374187836,293.6712649625815,317.6315144996287,295.19375,-2.76125,0.4225,0.0,97.675,309.51021641307864,
2024-01-11 09:30:00+05:30,morning,421.2100028991699,576.5,75.85147256506482,497.0614754642347,542.1302805112501,297.0575,-3.8275,0.68875,0.0,100.05,461.8119559520388,
2024-01-11 10:30:00+05:30,noon,633.120002746582,694.42,56.72481175011983,689.8448144967018,716.9171984293279,299.10375,-4.50125,-0.06125,0.0,95.25,638.7142905206166,
